Step,large_model_Train,large_model_Val,medium_model_Train,medium_model_Val,medium_model_w_worddropout_Train,medium_model_w_worddropout_Val,medium_model_w_worddropout2_Train,medium_model_w_worddropout2_Val,small_model_Train,small_model_Val,small_model_wo_skip_Train,small_model_wo_skip_Val
0,4.999322414398193,5.002575874328613,4.638368606567383,4.645814895629883,4.64162540435791,4.646040439605713,4.644124984741211,4.647569179534912,4.506864547729492,4.509121894836426,4.502429008483887,4.510856628417969
10,3.2147367000579834,3.221444606781006,3.3228344917297363,3.326922655105591,3.31459379196167,3.3104162216186523,3.3424386978149414,3.3383984565734863,3.9486680030822754,3.9540436267852783,3.8750319480895996,3.8831489086151123
20,3.0251593589782715,3.0333375930786133,3.079716444015503,3.088620662689209,3.0773327350616455,3.063863754272461,3.1182820796966553,3.1096696853637695,3.721409797668457,3.7276816368103027,3.701223134994507,3.707949161529541
30,2.8715755939483643,2.877944231033325,2.9255106449127197,2.933828353881836,2.934553861618042,2.912503957748413,2.9845123291015625,2.964144706726074,3.5727486610412598,3.578251361846924,3.5910775661468506,3.597627878189087
40,2.7037487030029297,2.7134151458740234,2.7918403148651123,2.8032031059265137,2.8057186603546143,2.769441604614258,2.8773107528686523,2.8514554500579834,3.473482131958008,3.4787039756774902,3.5171053409576416,3.5227880477905273
50,2.5535030364990234,2.567152738571167,2.6587131023406982,2.671496629714966,2.690251350402832,2.639479637145996,2.7728989124298096,2.731767177581787,3.3948633670806885,3.4011380672454834,3.458616018295288,3.464414596557617
60,2.4335286617279053,2.444779634475708,2.5468969345092773,2.561143159866333,2.595738172531128,2.534891366958618,2.6791887283325195,2.6263532638549805,3.325087785720825,3.3319966793060303,3.4118523597717285,3.417665481567383
70,2.3413660526275635,2.3529727458953857,2.453217029571533,2.468308687210083,2.5165302753448486,2.4471445083618164,2.599229097366333,2.539656162261963,3.2583870887756348,3.26474666595459,3.373793840408325,3.3788702487945557
80,2.2745630741119385,2.283644199371338,2.375580072402954,2.390333652496338,2.451535224914551,2.3766584396362305,2.530364513397217,2.463697910308838,3.1920886039733887,3.199162483215332,3.3403820991516113,3.3456640243530273
90,2.2230942249298096,2.231996536254883,2.3154516220092773,2.3283867835998535,2.4015016555786133,2.318021774291992,2.475210189819336,2.400820255279541,3.125727891921997,3.1330392360687256,3.311009407043457,3.3165032863616943
100,2.1822636127471924,2.190171003341675,2.2651278972625732,2.2781450748443604,2.365640878677368,2.2770981788635254,2.428187370300293,2.3490161895751953,3.059652090072632,3.067797899246216,3.286783218383789,3.291970729827881
110,2.150465965270996,2.1573705673217773,2.2239129543304443,2.236417055130005,2.335308790206909,2.2414751052856445,2.390369176864624,2.305650234222412,2.99436092376709,3.002779483795166,3.2658019065856934,3.2708771228790283
120,2.1236624717712402,2.1296889781951904,2.193770170211792,2.203622579574585,2.311699628829956,2.2128021717071533,2.362454891204834,2.271104335784912,2.9320685863494873,2.9408862590789795,3.2479631900787354,3.2531638145446777
130,2.101736545562744,2.1101913452148438,2.168780565261841,2.177949905395508,2.2931127548217773,2.191478967666626,2.338041067123413,2.243485927581787,2.873324394226074,2.8829126358032227,3.2329587936401367,3.238178014755249
140,2.0837814807891846,2.09230375289917,2.147510051727295,2.157500982284546,2.2764949798583984,2.1717591285705566,2.3178319931030273,2.2211685180664062,2.8186514377593994,2.8286962509155273,3.219301462173462,3.225210666656494
150,2.068099021911621,2.0779755115509033,2.130058765411377,2.1391611099243164,2.2645413875579834,2.159008026123047,2.301398515701294,2.201106548309326,2.768127202987671,2.7784650325775146,3.208204746246338,3.2139008045196533
160,2.0556249618530273,2.063237190246582,2.1150078773498535,2.1243112087249756,2.252645969390869,2.145669937133789,2.287543296813965,2.1849424839019775,2.721954584121704,2.731433629989624,3.199310302734375,3.2050716876983643
170,2.0425968170166016,2.0508532524108887,2.1014535427093506,2.1106014251708984,2.2428250312805176,2.1331114768981934,2.2747981548309326,2.1705515384674072,2.6791956424713135,2.688499689102173,3.1913673877716064,3.196847438812256
180,2.031416893005371,2.042205810546875,2.0901269912719727,2.098834276199341,2.2352967262268066,2.1233959197998047,2.2647745609283447,2.15706729888916,2.6386945247650146,2.648667335510254,3.1846859455108643,3.190251111984253
190,2.0212504863739014,2.0316033363342285,2.0791146755218506,2.0884153842926025,2.226386070251465,2.114138603210449,2.2553863525390625,2.1484169960021973,2.6024227142333984,2.6124026775360107,3.1791024208068848,3.1850128173828125
200,2.0102508068084717,2.020362615585327,2.0707595348358154,2.078803062438965,2.218620538711548,2.1053192615509033,2.2469122409820557,2.1356043815612793,2.5688531398773193,2.5781519412994385,3.1737279891967773,3.179471969604492
210,2.0000481605529785,2.011389970779419,2.0612523555755615,2.0695135593414307,2.2110342979431152,2.098841905593872,2.2391154766082764,2.128469467163086,2.538118362426758,2.5465879440307617,3.1697919368743896,3.1756598949432373
220,1.9894366264343262,1.9998458623886108,2.053431749343872,2.062343120574951,2.204838752746582,2.0894839763641357,2.2316088676452637,2.120297431945801,2.5102617740631104,2.517993927001953,3.1661536693573,3.172096014022827
230,1.9782110452651978,1.9899241924285889,2.0447921752929688,2.0546340942382812,2.1989636421203613,2.0854663848876953,2.224644184112549,2.1130001544952393,2.484511375427246,2.4923882484436035,3.162984609603882,3.1689765453338623
240,1.9671196937561035,1.9790778160095215,2.037970781326294,2.04732084274292,2.1932644844055176,2.076539993286133,2.2188069820404053,2.1056671142578125,2.459644317626953,2.4680016040802,3.1600751876831055,3.1665234565734863
250,1.953914761543274,1.9665080308914185,2.0310964584350586,2.0413811206817627,2.1864936351776123,2.0680196285247803,2.2130374908447266,2.100203037261963,2.437185525894165,2.444570541381836,3.157883882522583,3.164048194885254
260,1.9406802654266357,1.9537532329559326,2.024685859680176,2.0343587398529053,2.1809144020080566,2.0645251274108887,2.2078816890716553,2.0939290523529053,2.415998935699463,2.423309564590454,3.1560757160186768,3.162102460861206
270,1.927038550376892,1.9399102926254272,2.0176329612731934,2.028869152069092,2.175436496734619,2.057992458343506,2.20288348197937,2.088437080383301,2.3960180282592773,2.4031338691711426,3.1541216373443604,3.1601035594940186
280,1.9123330116271973,1.9270789623260498,2.0108606815338135,2.0223472118377686,2.17167592048645,2.051663398742676,2.1969504356384277,2.0820090770721436,2.3777432441711426,2.3835010528564453,3.152439594268799,3.1584832668304443
290,1.8981038331985474,1.912215232849121,2.0035321712493896,2.0140371322631836,2.1643033027648926,2.0447511672973633,2.19108510017395,2.075186014175415,2.3600494861602783,2.3674187660217285,3.150923490524292,3.157169818878174
300,1.8825857639312744,1.8969088792800903,1.9989001750946045,2.0095696449279785,2.1585984230041504,2.0375430583953857,2.1880042552948,2.0710744857788086,2.3442139625549316,2.3499250411987305,3.1498754024505615,3.1554620265960693
310,1.8667694330215454,1.8826452493667603,1.9914988279342651,2.002546548843384,2.1518685817718506,2.030710220336914,2.1820621490478516,2.0670039653778076,2.328014373779297,2.334322690963745,3.1481122970581055,3.1546685695648193
320,1.8475843667984009,1.8632850646972656,1.9840754270553589,1.9949573278427124,2.145684242248535,2.0247621536254883,2.177255868911743,2.0580861568450928,2.3138132095336914,2.319876194000244,3.1468396186828613,3.153205156326294
330,1.8290055990219116,1.845352053642273,1.9781312942504883,1.989251732826233,2.140286922454834,2.0177736282348633,2.173041343688965,2.054006576538086,2.300723075866699,2.3067150115966797,3.1463348865509033,3.152862548828125
340,1.808498501777649,1.8253957033157349,1.9710829257965088,1.981626272201538,2.134092330932617,2.01008677482605,2.1678926944732666,2.049323320388794,2.28762149810791,2.294293165206909,3.145012140274048,3.151972770690918
350,1.7867858409881592,1.8036330938339233,1.9645718336105347,1.976412296295166,2.125821113586426,2.0026772022247314,2.163677453994751,2.0457146167755127,2.275094985961914,2.2808942794799805,3.1436636447906494,3.150726079940796
360,1.7618803977966309,1.7797455787658691,1.956847071647644,1.967909812927246,2.119051456451416,1.9934754371643066,2.158291816711426,2.0381510257720947,2.264639377593994,2.2700772285461426,3.1437418460845947,3.150219202041626
370,1.7330694198608398,1.752682089805603,1.9497734308242798,1.9614170789718628,2.112273931503296,1.9853402376174927,2.153921604156494,2.033512830734253,2.253732681274414,2.2592062950134277,3.1426448822021484,3.1494228839874268
380,1.698069453239441,1.7176557779312134,1.9408628940582275,1.9521206617355347,2.1036105155944824,1.9762465953826904,2.14849853515625,2.0269200801849365,2.2443952560424805,2.2493810653686523,3.1422955989837646,3.1487460136413574
390,1.658302664756775,1.6795358657836914,1.932193398475647,1.9437925815582275,2.094158887863159,1.964892864227295,2.1429646015167236,2.0205907821655273,2.233661413192749,2.239922523498535,3.1415185928344727,3.147946834564209
400,1.614097237586975,1.6333144903182983,1.9222922325134277,1.934656023979187,2.0857908725738525,1.9541088342666626,2.1362414360046387,2.0140159130096436,2.2246997356414795,2.2313573360443115,3.1411612033843994,3.1479547023773193
410,1.562677025794983,1.5834405422210693,1.913232445716858,1.9257923364639282,2.0757317543029785,1.9430269002914429,2.130671739578247,2.0096182823181152,2.2158761024475098,2.2220847606658936,3.139775037765503,3.1471145153045654
420,1.499947190284729,1.5236842632293701,1.9026943445205688,1.9158837795257568,2.0675299167633057,1.9322704076766968,2.1240885257720947,2.002322196960449,2.208052396774292,2.2141709327697754,3.139793634414673,3.146416664123535
430,1.4347546100616455,1.457890272140503,1.8923546075820923,1.9048702716827393,2.057784080505371,1.920403003692627,2.119403600692749,1.9946720600128174,2.201159954071045,2.2065064907073975,3.1394989490509033,3.146437883377075
440,1.3588680028915405,1.3830777406692505,1.8813445568084717,1.8940911293029785,2.0466763973236084,1.9080296754837036,2.1130645275115967,1.9866299629211426,2.1922199726104736,2.198866844177246,3.1394901275634766,3.146275043487549
450,1.2775092124938965,1.302819013595581,1.8691099882125854,1.8826184272766113,2.0356180667877197,1.8955605030059814,2.1050493717193604,1.9789414405822754,2.1853463649749756,2.1920738220214844,3.138543128967285,3.1457228660583496
460,1.1995387077331543,1.2250267267227173,1.8580033779144287,1.8719663619995117,2.023308515548706,1.8798147439956665,2.0982182025909424,1.973177194595337,2.1788039207458496,2.1849215030670166,3.1379919052124023,3.1452136039733887
470,1.1224747896194458,1.1480640172958374,1.8440918922424316,1.857245922088623,2.0101261138916016,1.8637210130691528,2.0906026363372803,1.9596589803695679,2.171847343444824,2.178140163421631,3.137582302093506,3.144759178161621
480,1.0400432348251343,1.0662026405334473,1.829824686050415,1.8439429998397827,1.9947667121887207,1.8466187715530396,2.082714796066284,1.9500480890274048,2.165539026260376,2.172762155532837,3.137274742126465,3.1442129611968994
490,0.9726919531822205,0.9975610971450806,1.8149971961975098,1.8286176919937134,1.9787390232086182,1.8280833959579468,2.0751023292541504,1.9418978691101074,2.16033935546875,2.1659862995147705,3.1364660263061523,3.143612861633301
500,0.9039232730865479,0.9279891848564148,1.796913504600525,1.8113778829574585,1.9596078395843506,1.806077003479004,2.0652410984039307,1.9313567876815796,2.1540627479553223,2.16081166267395,3.136420249938965,3.144202470779419
510,0.8429998755455017,0.865531325340271,1.777501106262207,1.7927440404891968,1.9364516735076904,1.7776374816894531,2.0565805435180664,1.9200119972229004,2.1481003761291504,2.155226230621338,3.1364634037017822,3.1438074111938477
520,0.7838618755340576,0.806643009185791,1.7558304071426392,1.7717128992080688,1.9122798442840576,1.7474545240402222,2.0471363067626953,1.910400390625,2.143178939819336,2.1494650840759277,3.1359314918518066,3.1430411338806152
530,0.7395979166030884,0.7605777978897095,1.7295219898223877,1.7463830709457397,1.8810718059539795,1.7089985609054565,2.0371270179748535,1.8992066383361816,2.1387789249420166,2.1453795433044434,3.136125087738037,3.1430325508117676
540,0.6959344744682312,0.7159662842750549,1.696730375289917,1.712568998336792,1.84480619430542,1.6660881042480469,2.027468681335449,1.8854475021362305,2.1329140663146973,2.139983892440796,3.1353867053985596,3.142456293106079
550,0.65496826171875,0.6726158857345581,1.661318302154541,1.677460789680481,1.8035327196121216,1.6139689683914185,2.0171499252319336,1.8718197345733643,2.127979040145874,2.135305643081665,3.1350347995758057,3.1423025131225586
560,0.6199626326560974,0.6377675533294678,1.6145662069320679,1.6321702003479004,1.754442572593689,1.5547115802764893,2.003796100616455,1.8570365905761719,2.12331223487854,2.1304445266723633,3.1348390579223633,3.142200231552124
570,0.592477023601532,0.6089866757392883,1.561999797821045,1.5779629945755005,1.6950076818466187,1.483483910560608,1.9912266731262207,1.8426032066345215,2.118438959121704,2.124093532562256,3.1346588134765625,3.142294406890869
580,0.5637761950492859,0.5815808773040771,1.492830514907837,1.5096821784973145,1.6324104070663452,1.4048638343811035,1.9735689163208008,1.8222523927688599,2.113645553588867,2.120600700378418,3.1339423656463623,3.1412758827209473
590,0.5433205962181091,0.5602720379829407,1.4156615734100342,1.4318870306015015,1.565828800201416,1.3252573013305664,1.9565907716751099,1.8021454811096191,2.109152317047119,2.116147994995117,3.1337811946868896,3.1413509845733643
600,0.5243738293647766,0.5404766201972961,1.3310966491699219,1.3451871871948242,1.4982993602752686,1.2460732460021973,1.937158226966858,1.7781856060028076,2.1055448055267334,2.1124236583709717,3.1342039108276367,3.1410951614379883
610,0.5071737766265869,0.5211086869239807,1.2432456016540527,1.25761079788208,1.4346543550491333,1.1658879518508911,1.9120078086853027,1.7478642463684082,2.100487470626831,2.1078498363494873,3.133793354034424,3.1410906314849854
620,0.4905267655849457,0.5052952766418457,1.1557583808898926,1.1710536479949951,1.3622761964797974,1.0890506505966187,1.8831695318222046,1.712854027748108,2.097233533859253,2.103527784347534,3.1336963176727295,3.1410775184631348
630,0.47766077518463135,0.49169936776161194,1.073771595954895,1.0887763500213623,1.3063312768936157,1.0219295024871826,1.850866436958313,1.6735351085662842,2.0923428535461426,2.0997891426086426,3.1326403617858887,3.1398916244506836
640,0.4677990674972534,0.4811040461063385,0.9986158609390259,1.0131690502166748,1.2519383430480957,0.9569764733314514,1.8120810985565186,1.6255600452423096,2.087928533554077,2.0956075191497803,3.1328070163726807,3.1404285430908203
650,0.45308616757392883,0.4666973054409027,0.9288510680198669,0.9439279437065125,1.2019202709197998,0.9079458713531494,1.7660996913909912,1.5667942762374878,2.0842719078063965,2.0921339988708496,3.132659912109375,3.1401455402374268
660,0.444810152053833,0.4569573998451233,0.8677107095718384,0.8822345733642578,1.1594407558441162,0.8552591800689697,1.7142311334609985,1.5046789646148682,2.080077886581421,2.0873241424560547,3.1326894760131836,3.1398046016693115
670,0.43512699007987976,0.44778212904930115,0.8126623630523682,0.8273386359214783,1.118428349494934,0.8103199005126953,1.6575392484664917,1.4359092712402344,2.075683116912842,2.0829591751098633,3.131221055984497,3.1390368938446045
680,0.42821991443634033,0.4413391947746277,0.764112114906311,0.7794041633605957,1.0820854902267456,0.772732675075531,1.5997307300567627,1.3672311305999756,2.0721209049224854,2.078498125076294,3.1316978931427,3.1382689476013184
690,0.4220285713672638,0.4341484308242798,0.7262622714042664,0.7408245801925659,1.0491029024124146,0.7365100979804993,1.54277765750885,1.2971359491348267,2.0679526329040527,2.076462745666504,3.129732370376587,3.13710880279541
700,0.414155513048172,0.42650261521339417,0.6899082660675049,0.7037555575370789,1.017837643623352,0.704362690448761,1.4813385009765625,1.2236933708190918,2.0639097690582275,2.0711100101470947,3.121824026107788,3.1287078857421875
710,0.4077643156051636,0.4195724129676819,0.6602511405944824,0.6735804677009583,0.9865062832832336,0.677463710308075,1.425449252128601,1.1553534269332886,2.06001353263855,2.067981004714966,3.0838141441345215,3.0911800861358643
720,0.4030250906944275,0.4151686728000641,0.6329985857009888,0.6467998027801514,0.9614729881286621,0.6516088843345642,1.3676034212112427,1.0923887491226196,2.0558483600616455,2.064852714538574,3.029775619506836,3.039645195007324
730,0.3974079191684723,0.40961480140686035,0.6102673411369324,0.623542070388794,0.937979519367218,0.6306711435317993,1.3224519491195679,1.0355305671691895,2.0513741970062256,2.060325860977173,2.9932708740234375,3.0047788619995117
740,0.3931849002838135,0.4050241708755493,0.589406430721283,0.6031403541564941,0.9139676094055176,0.6076428294181824,1.268334150314331,0.9792720079421997,2.0474038124084473,2.055466890335083,2.966196298599243,2.977926731109619
750,0.3880859613418579,0.3993197977542877,0.5707705020904541,0.5830392241477966,0.8913230895996094,0.5907439589500427,1.2246628999710083,0.9273389577865601,2.0435304641723633,2.0516769886016846,2.953634738922119,2.966560125350952
760,0.38611021637916565,0.396829754114151,0.5551108121871948,0.5683591365814209,0.8743714690208435,0.5768661499023438,1.185514211654663,0.8846086263656616,2.040095806121826,2.0485336780548096,2.948248863220215,2.9609949588775635
770,0.3818134665489197,0.3933025598526001,0.5423833727836609,0.5548610091209412,0.8594420552253723,0.5641264319419861,1.148706316947937,0.8410879373550415,2.0350663661956787,2.0438272953033447,2.9422528743743896,2.954342842102051
780,0.37923023104667664,0.39039650559425354,0.5302979350090027,0.5429584980010986,0.8414051532745361,0.5481787323951721,1.115382194519043,0.8049497008323669,2.031461477279663,2.040191888809204,2.937119245529175,2.948366403579712
790,0.37630587816238403,0.387910932302475,0.5186574459075928,0.5306947827339172,0.8311901092529297,0.540565550327301,1.079984188079834,0.7691732048988342,2.027296304702759,2.035484552383423,2.9325673580169678,2.9439749717712402
800,0.37347835302352905,0.38533785939216614,0.5045117735862732,0.5163000226020813,0.8160706162452698,0.5333782434463501,1.0529894828796387,0.7414457201957703,2.0228159427642822,2.0318922996520996,2.9242753982543945,2.936772346496582
810,0.37169405817985535,0.3824089765548706,0.4947552978992462,0.5063770413398743,0.8030722141265869,0.5209795236587524,1.0247211456298828,0.7121384143829346,2.0189034938812256,2.0278897285461426,2.9164388179779053,2.9284417629241943
820,0.368584543466568,0.3804165720939636,0.4889662563800812,0.5003613829612732,0.7936692237854004,0.5136051774024963,1.0021533966064453,0.690075695514679,2.013937473297119,2.0236220359802246,2.9039807319641113,2.915879726409912
830,0.3668771982192993,0.37828314304351807,0.47917723655700684,0.49036040902137756,0.7790254950523376,0.5086469054222107,0.9774779677391052,0.6669666171073914,2.0105080604553223,2.018979549407959,2.8898236751556396,2.9020919799804688
840,0.3640348017215729,0.3754951059818268,0.4668736755847931,0.4785253405570984,0.7717082500457764,0.5052623152732849,0.9555599093437195,0.6447420716285706,2.0056052207946777,2.0149989128112793,2.8708901405334473,2.8829233646392822
850,0.362548291683197,0.3740277886390686,0.46007686853408813,0.47085410356521606,0.7609696984291077,0.4981449842453003,0.9335451722145081,0.6235624551773071,2.0009894371032715,2.010848045349121,2.854907512664795,2.866405725479126
860,0.3612951636314392,0.37209606170654297,0.4532720148563385,0.4645357131958008,0.749980628490448,0.4921393096446991,0.9187625646591187,0.6083599328994751,1.9964123964309692,2.005678653717041,2.8358259201049805,2.846182346343994
870,0.35975998640060425,0.3707076907157898,0.44477903842926025,0.4554133713245392,0.7432003617286682,0.48617222905158997,0.9016797542572021,0.5967364311218262,1.9914394617080688,2.0015063285827637,2.8172290325164795,2.8270907402038574
880,0.35783958435058594,0.36992451548576355,0.4403080642223358,0.449814110994339,0.7365996837615967,0.4841773211956024,0.8881031274795532,0.5798749327659607,1.9868226051330566,1.996443748474121,2.7906808853149414,2.7989249229431152
890,0.35597294569015503,0.36717459559440613,0.4360329508781433,0.4459216594696045,0.7241327166557312,0.47918373346328735,0.8682515025138855,0.5715758800506592,1.9811691045761108,1.992079496383667,2.768230676651001,2.7763051986694336
900,0.3560561239719391,0.36735403537750244,0.43376702070236206,0.4425544738769531,0.7179896831512451,0.4751119613647461,0.8552916049957275,0.563729465007782,1.9761321544647217,1.9862865209579468,2.747037887573242,2.754331111907959
910,0.35423004627227783,0.3650696277618408,0.4274359941482544,0.43707260489463806,0.7125579118728638,0.47398608922958374,0.8435741662979126,0.5525434613227844,1.971372127532959,1.980797529220581,2.722379684448242,2.7290050983428955
920,0.3536701202392578,0.3649849593639374,0.4236873984336853,0.43393009901046753,0.7073028087615967,0.4710310995578766,0.831779956817627,0.5425668954849243,1.9640880823135376,1.9749614000320435,2.6899523735046387,2.6965389251708984
930,0.35245972871780396,0.3638208508491516,0.41851454973220825,0.42884331941604614,0.6972755193710327,0.4642397165298462,0.8193313479423523,0.5369631052017212,1.9595866203308105,1.9694082736968994,2.6641721725463867,2.6717898845672607
940,0.3515389561653137,0.3628541827201843,0.4169706702232361,0.42700377106666565,0.6877212524414062,0.4610033333301544,0.809518039226532,0.5291639566421509,1.9538325071334839,1.9644414186477661,2.6427717208862305,2.6496927738189697
950,0.35066601634025574,0.36256512999534607,0.41349154710769653,0.4232317805290222,0.6834024786949158,0.45595550537109375,0.7989276051521301,0.5221600532531738,1.9461495876312256,1.9570226669311523,2.6252171993255615,2.63346791267395
960,0.34998619556427,0.36097222566604614,0.4072597622871399,0.4178354740142822,0.6779348850250244,0.4557216167449951,0.787456750869751,0.5153255462646484,1.9385892152786255,1.9490115642547607,2.6105093955993652,2.618619680404663
970,0.3492906987667084,0.36090168356895447,0.4066000282764435,0.4164397120475769,0.6725537776947021,0.4528578817844391,0.7811150550842285,0.5127604007720947,1.9305126667022705,1.9412450790405273,2.5972108840942383,2.605365514755249
980,0.3482379615306854,0.3598982095718384,0.40098515152931213,0.4112588167190552,0.6630190014839172,0.4503662586212158,0.7709540724754333,0.5074493288993835,1.92256760597229,1.9337960481643677,2.5861852169036865,2.5943024158477783
990,0.34724563360214233,0.35927489399909973,0.39791879057884216,0.40803614258766174,0.6621792316436768,0.44909676909446716,0.7651841640472412,0.5028817653656006,1.9130859375,1.9241187572479248,2.5764288902282715,2.5854244232177734
1000,0.34659022092819214,0.3588497042655945,0.3955191373825073,0.40491142868995667,0.6534473299980164,0.44554978609085083,0.7569644451141357,0.49673712253570557,1.9017714262008667,1.911918044090271,2.566378116607666,2.5740914344787598
1010,0.3462073802947998,0.3576591908931732,0.39596426486968994,0.4055349826812744,0.6465789079666138,0.4409453868865967,0.7498629689216614,0.4915759563446045,1.8878003358840942,1.8995059728622437,2.553584337234497,2.5616278648376465
1020,0.3453512489795685,0.35719799995422363,0.39605048298835754,0.40674540400505066,0.6451470851898193,0.439620703458786,0.7380068898200989,0.4888722896575928,1.8726190328598022,1.8831079006195068,2.5427939891815186,2.550868034362793
1030,0.3449726998806,0.35634127259254456,0.391702800989151,0.401606947183609,0.6374235153198242,0.4369945824146271,0.7329974174499512,0.48195284605026245,1.8543791770935059,1.8656928539276123,2.5293776988983154,2.5385854244232178
1040,0.3443659842014313,0.35587531328201294,0.3893127739429474,0.3984611928462982,0.6319918632507324,0.4362259805202484,0.7296507954597473,0.48041754961013794,1.8316060304641724,1.8422285318374634,2.5175228118896484,2.5234718322753906
1050,0.34255775809288025,0.35504910349845886,0.3871161639690399,0.39601272344589233,0.6284699440002441,0.43463772535324097,0.7178388833999634,0.4741877317428589,1.80571711063385,1.8160858154296875,2.5080690383911133,2.5159289836883545
1060,0.34357374906539917,0.3561601936817169,0.38757288455963135,0.39650464057922363,0.6253607273101807,0.43267929553985596,0.7115783095359802,0.471902459859848,1.7734261751174927,1.7850966453552246,2.497512102127075,2.5062835216522217
1070,0.34249305725097656,0.35502034425735474,0.3835083842277527,0.39233580231666565,0.6232341527938843,0.4336586892604828,0.7068118453025818,0.47071418166160583,1.7364706993103027,1.7464745044708252,2.4875450134277344,2.4952445030212402
1080,0.3431062698364258,0.3544953465461731,0.38296055793762207,0.3913232088088989,0.6187337636947632,0.4324726164340973,0.7003530859947205,0.4663804769515991,1.6935436725616455,1.7016962766647339,2.4815561771392822,2.489652395248413
1090,0.3420948088169098,0.3544347286224365,0.3818114399909973,0.39113524556159973,0.6129199266433716,0.4297610819339752,0.6950109601020813,0.4669158160686493,1.6453181505203247,1.6535342931747437,2.474233627319336,2.483649492263794
1100,0.34151530265808105,0.3544122278690338,0.38212451338768005,0.39099109172821045,0.6080235838890076,0.4295753538608551,0.6874263286590576,0.4624454379081726,1.5923863649368286,1.598730206489563,2.4670183658599854,2.4757583141326904
1110,0.3412874937057495,0.35345661640167236,0.38154464960098267,0.39072251319885254,0.6101797223091125,0.4295133650302887,0.6875357031822205,0.46195879578590393,1.540382981300354,1.5458061695098877,2.4611122608184814,2.4706640243530273
1120,0.3405207693576813,0.3525083065032959,0.3773658275604248,0.3860420286655426,0.6053482294082642,0.4280012845993042,0.6799727082252502,0.4583830237388611,1.4832295179367065,1.4872965812683105,2.4557526111602783,2.4645228385925293
1130,0.34072449803352356,0.3520478904247284,0.376851350069046,0.3858036696910858,0.5998409390449524,0.4260086119174957,0.6772934794425964,0.456537663936615,1.424292802810669,1.4272072315216064,2.449533462524414,2.4590320587158203
1140,0.34009379148483276,0.3521788716316223,0.37674805521965027,0.3858242332935333,0.5979774594306946,0.42498233914375305,0.6703230142593384,0.454711377620697,1.369258999824524,1.3717334270477295,2.442976951599121,2.453716993331909
1150,0.3394729495048523,0.3521294891834259,0.37709686160087585,0.38534078001976013,0.594952404499054,0.4248062074184418,0.6686815023422241,0.45193877816200256,1.3117015361785889,1.313533902168274,2.4419684410095215,2.451740264892578
